Year,Energy Source,Energy Cost ($),Operational Cost ($),Annual Install Cost ($),Total Annual Cost ($),Incentives ($)
2005,solar,299696752.2542124,112386282095.32964,509484478832.161,622170457679.7449,2247725641906.593
2006,solar,300755423.21229583,112783283704.61093,511284219460.9029,624368258588.7261,2255665674092.2188
2007,solar,307165396.7534087,115187023782.52824,522181174480.7947,637675363660.0763,2303740475650.565
2008,solar,312131383.6538177,117049268870.18166,530623352211.4902,647984752465.3257,2340985377403.633
2009,solar,311436298.33096474,116788611874.11179,529441707162.6401,646541755335.0828,2335772237482.2354
2010,solar,316688815.09852165,118758305661.94562,538370985667.48676,657445980144.5309,2375166113238.912
2011,solar,324957737.8829678,121859151706.11295,552428154401.0453,674612263845.0413,2437183034122.259
2012,solar,331622622.9620728,124358483610.7773,563758459035.5237,688448565269.2631,2487169672215.546
2013,solar,335849774.49234235,125943665434.62837,570944616636.9819,697224131846.1027,2518873308692.5674
2014,solar,337827588.6853665,126685345757.01244,574306900765.123,701330074110.8208,2533706915140.249
2015,solar,341342215.9983308,128003330999.37404,580281767197.1624,708626440412.5347,2560066619987.481
2016,solar,346098950.4087362,129787106403.2761,588368215694.8516,718501421048.5364,2595742128065.522
2017,solar,328527249.56117404,123197718585.44028,558496324253.9958,682022570088.9973,2463954371708.8057
2018,solar,354066957.82920396,132775109185.95149,601913828309.6467,735043004453.4275,2655502183719.03
2019,solar,354582906.81890035,132968590057.08763,602790941592.1306,736114114556.0371,2659371801141.7524
2020,solar,356874663.5445217,133827998829.19563,606686928025.6869,740871801518.427,2676559976583.9126
2021,solar,352235681.3296385,132088380498.61444,598800658260.3855,731241274440.3296,2641767609972.289
2022,solar,361330268.9186207,135498850844.48277,614261457161.6553,750121638275.0566,2709977016889.6553
2023,solar,364139917.89872694,136552469212.0226,619037860427.8357,755954469557.7571,2731049384240.4517
2024,solar,368061686.01141775,138023132254.28165,625704866219.4102,764096060159.7032,2760462645085.633
2025,solar,369874260.4619661,138702847673.23727,628786242785.3424,767858964719.0416,2774056953464.7456
2026,solar,372693710.59177643,139760141471.91617,633579308006.0199,773712143188.5278,2795202829438.323
2027,solar,375508481.2988173,140815680487.05646,638364418207.9894,779555607176.3447,2816313609741.1294
2028,solar,379254516.5949517,142220443723.10687,644732678211.4178,787332376451.1196,2844408874462.1377
2029,solar,381165565.01043725,142937086878.91397,647981460517.7433,791299712961.6677,2858741737578.2793
2030,solar,383998249.18712205,143999343445.17078,652797023618.1075,797180365312.4655,2879986868903.4155
2005,wind,337158846.28598887,149848376127.10617,544903185916.7497,695088720890.1418,1873104701588.8271
2006,wind,338349851.1138328,150377711606.14792,546828042204.17413,697544103661.4359,1879721395076.8489
2007,wind,345561071.3475847,153582698376.7043,558482539551.652,712410798999.7039,1919783729708.804
2008,wind,351147806.610545,156065691826.90887,567511606643.3049,723928446276.8243,1950821147836.3608
2009,wind,350365835.6223353,155718149165.48236,566247815147.2086,722316330148.3134,1946476864568.5295
2010,wind,356274916.98583686,158344407549.2608,575797845633.6757,734498528099.9224,1979305094365.7603
2011,wind,365577455.1183388,162478868941.48392,590832250696.3052,753676697092.9075,2030985861768.549
2012,wind,373075450.8323319,165811311481.0364,602950223567.405,769134610499.2738,2072641393512.9548
2013,wind,377830996.3038851,167924887246.17117,610635953622.4406,778938671864.9156,2099061090577.1394
2014,wind,380056037.27103734,168913794342.68326,614231979427.9391,783525829807.8933,2111422429283.5408
2015,wind,384009992.99812216,170671107999.1654,620622210906.0559,791677328898.2195,2133388849989.5674
2016,wind,389361319.20982826,173049475204.36813,629270818924.975,802709655448.553,2163118440054.6016
2017,wind,369593155.75632083,164263624780.58704,597322271929.4073,761955489865.7507,2053295309757.338
2018,wind,398325327.5578545,177033478914.602,643758105144.0072,821189909386.167,2212918486432.525
2019,wind,398905770.17126286,177291453409.45016,644696194216.1824,822386553395.8038,2216143167618.127
2020,wind,401483996.4875869,178437331772.26086,648863024626.4031,827701840395.1515,2230466647153.2607
2021,wind,396265141.49584335,176117840664.81924,640428511508.4336,816942617314.7487,2201473008310.2407
2022,wind,406496552.53344834,180665134459.31036,656964125306.583,838035756318.4268,2258314180741.3794
2023,wind,409657407.63606775,182069958949.36346,662072577997.6852,844552194354.6847,2275874486867.043
2024,wind,414069396.7628449,184030843005.70886,669203065475.3049,853647977877.7766,2300385537571.361
2025,wind,416108543.01971185,184937130230.98306,672498655385.3928,857851894159.3956,2311714127887.288
2026,wind,419280424.4157485,186346855295.8882,677624928348.6843,864391064068.9883,2329335691198.603
2027,wind,422447041.4611694,187754240649.40863,682742693270.5768,870919380961.4465,2346928008117.608
2028,wind,426661331.16932064,189627258297.47583,689553666536.2758,879607586164.9209,2370340728718.4478
2029,wind,428811260.6367419,190582782505.2186,693028300018.9767,884039893784.832,2382284781315.2324
2030,wind,431998030.33551234,191999124593.56104,698178634885.6764,890609757509.573,2399989057419.5127
2005,hydro,599393504.5084248,168579423142.99445,449545128381.31854,618723945028.8214,0.0
2006,hydro,601510846.4245917,169174925556.91638,451133134818.4437,620909571221.7847,0.0
2007,hydro,614330793.5068173,172780535673.79236,460748095130.113,634142961597.4121,0.0
2008,hydro,624262767.3076354,175573903305.2725,468197075480.7266,644395241553.3068,0.0
2009,hydro,622872596.6619295,175182917811.16766,467154447496.44714,642960237904.2767,0.0
2010,hydro,633377630.1970433,178137458492.91843,475033222647.7825,653804058770.898,0.0
2011,hydro,649915475.7659357,182788727559.1694,487436606824.4518,670875249859.3871,0.0
2012,hydro,663245245.9241456,186537725416.16595,497433934443.1092,684634905105.1992,0.0
2013,hydro,671699548.9846847,188915498151.94257,503774661738.5135,693361859439.4407,0.0
2014,hydro,675655177.370733,190028018635.51868,506741383028.04974,697445056840.9392,0.0
2015,hydro,682684431.9966615,192004996499.06107,512013323997.49615,704701004928.554,0.0
2016,hydro,692197900.8174725,194680659604.91412,519148425613.1044,714521283118.8359,0.0
2017,hydro,657054499.1223481,184796577878.1604,492790874341.7611,678244506719.0438,0.0
2018,hydro,708133915.6584079,199162663778.92725,531100436743.80597,730971234438.3916,0.0
2019,hydro,709165813.6378007,199452885085.63144,531874360228.3505,732036411127.6198,0.0
2020,hydro,713749327.0890434,200741998243.79346,535311995316.78253,736767742887.665,0.0
2021,hydro,704471362.659277,198132570747.92166,528353521994.45776,727190564105.0387,0.0
2022,hydro,722660537.8372414,203248276266.72415,541995403377.9311,745966340182.4924,0.0
2023,hydro,728279835.7974539,204828703818.03387,546209876848.0904,751766860501.9218,0.0
2024,hydro,736123372.0228355,207034698381.4225,552092529017.1266,759863350770.5719,0.0
2025,hydro,739748520.9239322,208054271509.85593,554811390692.9491,763605410723.729,0.0
2026,hydro,745387421.1835529,209640212207.87424,559040565887.6647,769426165516.7224,0.0
2027,hydro,751016962.5976346,211223520730.5847,563262721948.2258,775237259641.4082,0.0
2028,hydro,758509033.1899034,213330665584.6603,568881774892.4275,782970949510.2777,0.0
2029,hydro,762331130.0208745,214405630318.37094,571748347515.6559,786916308964.0477,0.0
2030,hydro,767996498.3742441,215999015167.75616,575997373780.6831,792764385446.8135,0.0
